recipe_id,ingredient,amount
33,쌀,3-4컵
33,고춧가루,1T
34,통깨,약간
34,마늘,약간
34,고추,약간
34,다진파,약간
34,참기름,1숟갈
34,참기름(들기름),1숟갈
34,진간장,3숟갈
34,간장,1숟갈
34,쌀,2인분(쌀컵으로1.5컵)
34,건곤드레나물,20g
34,고춧가루,1/2숟갈
35,다진 홍고추,1작은술
35,다진 청고추,1작은술
35,깨소금,1작은술
35,참기름,1작은술
35,매실액,1작은술
35,국간장,2큰술
35,아마씨오일,2큰술
35,멥쌀,2컵
35,곤드레나물,150g
35,국간장,1큰술
36,청양고추 잘게 썬 것,1개
36,표고,
36,다시마,
36,멸치,
36,무,
36,전분가루,2큰술
36,참기름,1큰술
36,식용유,적당히
36,마늘 편 썬 것,5알
36,물,5큰술
36,표고버섯 잘게 썬 것,2/3컵
36,양파 잘게 썬 것,2/3컵
36,호박 잘게 썬 것,2/3컵
36,소고기 잘게 썬 것,1/2컵
36,된장,200g
36,대파 잘게 썬 것,1/2컵
36,소금,1/2작은술
36,들기름,2+1/2큰술
36,불린쌀,2컵
36,곤드레 삶은 것,250g
37,깨,약간
37,참기름,0.5스푼
37,다진 파,1스푼
37,고춧가루,1스푼
37,다진 마늘,0.5스푼
37,간장,4스푼
37,건곤드레,1줌
37,쌀,2컵
37,설탕,1스푼
38,후춧가루,약간
38,참기름,1큰술
38,맛술,1작은술
38,고추장,1큰술
38,올리고당,1+1/2큰술
38,밥,
38,스팸,
38,김치,
38,굴소스,1+1/2큰술
39,고춧가루,2~3T
39,식용유,적당량
39,간장,2~3T
39,설탕,1/3T
39,간 마늘,1T
39,묵은지,250g
39,대파,1/2대
39,참치,100g
39,밥,400g
39,계란후라이,2개
40,소금,1꼬집
40,참기름,1/2T
40,고춧가루,1T
40,간장,1T
40,미림(맛술),1/2T
40,계란,1개
40,대파,1대
40,신김치,1/2공기
40,밥,1공기
40,기름,2T
41,밥,1공기
41,참기름,약간
41,설탕,1/2스푼
41,간장,2스푼
41,식용유,3스푼
41,참치,1캔
41,김치,2/3국그릇
41,대파,1뿌리
42,고추장,2/3큰술
42,들기름 또는 참기름,1큰술
42,부순 참깨,1큰술
42,설탕,2/3큰술
42,김칫국물,2큰술
42,다진 햄,3큰술
42,다진 김치,1/2컵
42,다진 양파,3큰술
42,밥,1공기
43,밥,4인분
43,참치,1캔(150g)
43,후리가케,2인분
43,참기름,4큰술
43,진간장,2큰술
43,맛술,1큰술
43,설탕,0.5큰술
43,올리고당,1큰술
43,밥숟가락,계량
44,참기름,1T
44,소금,1꼬집
44,밥,1공기
44,당근,20g
44,양파,20g
44,통통소세지,3개
44,애호박,20g
45,햄,
45,당근,
45,양파,
45,애호박,
45,달걀,2개
45,참치,1캔
45,마요네즈,
45,김가루,
46,밥,
46,굴소스,1TS
46,당근,
46,베이컨,
46,호박,
47,밥,2공기
47,고추참치,1캔
47,김,적당량
47,고추장,2큰술
47,설탕,1큰술
47,참기름,2큰술
47,마요네즈,1큰술
48,간장,1/2T
48,깨,
48,김가루,조금
48,찬밥,1인분
48,참기름,1T
48,참치캔,100ml
48,다진마늘,1/2T
48,다진파,4T
48,달걀,1개
48,고추장 듬뿍,1T
49,달걀,1개
49,밥,1공기
49,마늘,5개
49,참치,2스푼
49,올리브유,약간
49,소금,약간
50,고춧가루,1숟갈
50,간장,1숟갈
50,고추장,1숟갈
50,다진마늘,1숟갈
50,설탕,0.5숟갈
50,김가루,약간
50,맛술,1숟갈
50,밥,1공기
50,다진야채(기호껏),
50,다진햄,
50,대파,1대
50,콩나물,1줌
50,계란,1알
51,후추,약간
51,통깨,적당량
51,참기름,1큰술
51,굴소스,1작은술~취향껏
51,식용유,3큰술 정도
51,다진 마늘,1큰술
51,밥,1공기
51,만두,3개
52,참기름,0.5스푼
52,설탕,0.5스푼
52,다진 마늘,0.5스푼
52,맛술,1스푼
52,간장,1스푼
52,스팸,1/2(작은 사이즈)
52,달걀,2개
52,대파,1대
52,밥,1.5공기
52,고추장,1스푼
53,밥,1공기
53,계란,1개
53,김,1줌
53,상추,3장
53,올리고당,1큰술
53,참기름,1큰술
53,간장,1큰술
53,고추가루,1큰술
53,고추장,1.5스푼
53,참치캔,1/2캔(100g)
53,설탕,1큰술
54,맛술,1
54,참기름,1티스푼
54,올리브유,조금
54,후추,톡
54,고춧가루,1
54,통깨,솔솔
54,굴소스,1
54,고추장,1+1/2큰술
54,통마늘,3
54,땡초,2
54,사각어묵,3장
54,올리고당,1
55,참기름,1t
55,깨소금,1t
55,설탕,1.5T
55,간장,2T
55,양파,1/2개
55,당근,1/3개
55,애호박,1/5개
55,돼지고기,100g
55,식초,1T
55,고추장,2T
56,고춧가루,1큰술
56,간마늘,1/2큰술
56,매운고추,적당량
56,파(잘게썬 것),4큰술
56,깨소금,2큰술
56,참기름,1큰술
56,간장,6큰술
56,소금,1작은술
56,물(1422ml),6컵
56,콩나물,2봉지
56,설탕,2큰술
57,간장,1스푼
57,마늘,1/3스푼
57,올리고당,1스푼
57,참기름,1스푼
57,깨,1스푼
57,계란,1개
57,참치캔,100g(제일작은사이즈)
57,열무,1/2밥공기양
57,밥,1공기
57,고추장,1스푼
58,설탕,
58,식초,
58,참기름,
58,깨소금(볶은통깨),
58,굵은고추가루,
58,멸치액젓(참치액),
58,새우젓,
58,매실청,
58,꿀,
58,굵은소금,
58,식용유,
58,다진파,
58,가는소금,
58,소고기다짐육,250g
58,피클오이,10개 =조선오이5-6개
58,무 중간크기,1개
58,고추장,간소고기동량의부피
58,시금치2단 약,650g
58,콩나물 1봉지,450g
58,당근,5개
58,간마늘,
58,그레이호박,5개 =조선호박2-3개
59,당근,1/2개
59,불닭소스,
59,밥,적당량
59,표고버섯,1개
59,달걀,2개
59,애호박,2개
59,꿀,1숟가락
59,시금치,1줌
59,후추,약간
59,캡사이신가루,1숟가락
59,간장,1숟가락
59,물,3숟가락
59,고추장,4숟가락
59,소고기다짐육,1종이컵
59,설탕,1숟가락
60,당근 몰,1큰술
60,대파 채,2큰술
60,참기름,1큰술
60,미원,1작은술
60,꽃소금,1작은술
60,식용유,4큰술
60,피망 채,50그램
60,부추,1줌
60,양파,50그램
60,해삼 채,30그램
60,오징어채,30그램
60,새우,30그램
60,계란,3개
60,공기밥,2개
60,당근,50그램
61,소금,약간
61,통깨,적당량
61,참기름,1큰 술
61,굴소스,1큰 술
61,후춧가루,약간
61,당근,1/3개
61,대파,1/2대
61,양파,1/2개
61,계란,3개
61,밥,2공기
62,계란,2개
62,대파,1/2개
62,냉동새우,8마리
62,간장,1t
62,참기름,1t
62,통깨,살짝
63,진간장,1T
63,소금,1꼬집
63,후추,톡톡
63,공기밥,취향것
63,굴소스,1T
63,달걀,1개
63,양파,1/2개
63,호박,1/4개
63,당근,1/3개
63,다진대파,1주먹
64,밥,1공기
64,계란,1알
64,새우살,20개가량
64,대파,1/2대
64,홍고추,1개
64,후추,톡톡
64,굴소스,1스푼
65,후추,톡톡
65,카놀라유,적당량
65,버터,1티스푼
65,굴소스,1큰술
65,양파 작은,1/2개
65,파프리카,조금
65,대파,조금
65,손질된새우,8마리
65,당근,조금
66,들기름(참기름),1/3스푼
66,고춧가루,1스푼
66,설탕,1/2스푼
66,김치양념-들기름(참기름),1스푼
66,김가루,적당량
66,참깨,1/2스푼
66,잘게썬 김치,1+1/2줌
66,상추,6-7장
66,날치알,5-6스푼
66,밥,3공기
66,김밥용단무지,4개
67,알,
67,김치,
67,맛살,
67,햄,
67,밥,
67,들기름,
68,단무지,
68,레몬즙,
68,김가루,
68,양파,
68,참기름,1큰술
68,날치알,
68,김치,
68,오이,
68,햄,
68,당근,
68,설탕,1/2큰술
69,참기름,1/2작은술
69,무순,약간
69,설탕,약간
69,배추김치,2-3줄기
69,단무지,약간
69,당근,약간
69,청주 ( 날치알이 잠길 정도) 밥 3분의,2공기
69,날치알,4큰술
70,참기름,1T
70,청주,1T
70,달걀,1개
70,무슨,1/2줌
70,김가루,3T
70,고추장,1T
70,다진 맛살,3T
70,다진 햄,3T
70,다진김치,3T
70,날치알,2큰술
70,밥,1공기
70,다진 단무지,3T
71,깨소금,2큰술
71,다진파,1큰술
71,마늘,1큰술
71,진간장,2.5큰술
71,식용유,1큰술
71,참기름,2큰술
71,참기름,2큰술
71,깨소금,2큰술
71,마늘,1큰술
71,호박,330g
71,식용유,1큰술
71,마늘,1큰술
71,진간장,3큰술
71,다진파,1큰술
71,참기름,2큰술
71,식용유,1큰술
71,후추,약간
71,쇠고기다진것,270g
71,고추장,12큰술
71,올리고당,2큰술
71,참기름,2큰술
71,다진파,1큰술
71,고사리,300g
71,진간장,3큰술
71,깨소금,2큰술
71,식용유,1큰술
71,고춧잎나물,300g
71,진간장,2큰술
71,다진파,1큰술
71,마늘,1큰술
71,들기름,2큰술
71,식용유,1큰술
71,취나물,310g
71,아주까리,330g
71,진간장,2큰술
71,마늘,1큰술
71,다진파,1큰술
71,생들깨가루,2큰술
71,생들깨가루,1큰술
71,식용유,1큰술
71,가지,250g
71,진간장,2큰술
71,소금,0.5작은술
71,마늘,1큰술
71,다진파,1큰술
71,깨소금,2큰술
71,참기름,2큰술
71,올리고당,1큰술
71,들기름,2큰술
72,고추장,3큰술
72,깨소금,1작은술
72,참기름,2큰술
72,무채나물,
72,현미밥,
72,봄산채나물,
72,간장,2큰술
73,계란,4개
73,물,100ml
73,굴소스,1T
73,올리고당,3T
73,케찹,3T
73,돈가스소스,6T
73,후추,약간
73,양파(대),1/2개
73,케찹,1T
73,식은 밥,2인분
73,파(잎위주),1/2대
73,감자(중),1/2개
73,당근,1줌
73,햄,100g
73,소금,1/2T
74,마요네즈,
74,후추,
74,물,130ml
74,올리고당,2스푼
74,돈까스소스,5큰스푼
74,케첩,7큰스푼
74,밥,
74,감자,
74,양파,
74,당근,
74,계란,
74,호박,
75,후추,약간
75,돈까스소스,10스푼
75,올리고당,2스푼
75,굴소스,2스푼
75,물,10스푼
75,식용유,적당량
75,소금,약간
75,케찹,10스푼
75,스팸,1/2개
75,계란,3개
75,당근,1/4개
75,호박,1/5개
75,감자,1/2개
75,양파,1/2개
75,밥,2공기
75,표고버섯,2개
76,후추,약간
76,우스터소스,2/3컵
76,다진 소고기,150g
76,케첩,200ml
76,버터,30g
76,다진 마늘,1큰 술
76,중간 크기 당근,1개
76,돈가스소스,적당량
76,계란,3개
76,소스,2-3큰술
76,밥,1공기
76,중간 크기 양파,1/2개
77,후춧가루,약간
77,후춧가루,약간
77,물,5T
77,굴소스,1t
77,물엿,1t
77,토마토케첩,1T
77,돈까스소스,3T
77,소금,약간
77,식용유,약간
77,참기름,약간
77,다진마늘,1t
77,버터,10g
77,달걀,1개
77,브로콜리,약간
77,피망,1/4개
77,양파,1/4개
77,당근,1토막
77,호박,10g
77,햄,50g
77,밥,1인분
77,토마토케찹,1T
78,참기름,2큰술
78,설탕,1/3큰술
78,소금,1/3큰술
78,다진마늘,1큰술
78,고추장 육회 양념장(,300g 기준)
78,쌀밥,
78,깨소금,적당량
78,새싹,
78,청양고추,
78,설탕,
78,배,
78,우둔살,
78,쌈야채,
79,약고추장or초고추or고추장,
79,김(가루),
79,참기름,
79,마늘,
79,통깨,2T
79,맛술,1t
79,설탕,3T
79,간장,1T
79,날치알,
79,계란노른자,
79,오이,
79,상추,
79,소고기(육회부위),
79,소금,1t
80,육회,약간
80,간장,1T
80,매실청,1T
80,올리고당,2T
80,고추장,3T
80,무순,약간
80,어린잎 채소,약간
80,참기름,1T
80,다진 파,0.5T
80,상추,3장
80,백후추,약간
80,고추기름,0.5t
80,참기름,1.5T
80,설탕,30g
80,구운소금,1T
80,달걀 노른자,1개
80,무순,약간
80,배,1/2개
80,우둔살,400g
80,다진 마늘,0.5T
81,깨,1숟갈
81,다진마늘,1/2숟갈
81,올리고당,1숟갈
81,참기름,1/2숟갈
81,고추장,1숟갈
81,양파,1/2개
81,채썬대파,1/2토막
81,애호박,1/2개
81,당근,1/2개
81,육사시미,300g
82,육회용 고기,200g
82,설탕,1T
82,간장,1.5T
82,참기름,1T
82,새싹,1/2
82,양파,1/2개
83,달걀,2개
83,식용유,적당량
83,밥,3공기
83,굴소스,3~4숟가락
83,청양고추,5개
83,양파,1개
83,냉동해물,300~400g
83,마늘,5쪽
84,식초,1Ts
84,설탕,1Ts
84,간장,1/2Ts
84,청양고추(혹은크러쉬드레드페퍼),
84,굴소스,1Ts
84,해물믹스,2웅큼
84,마늘,4톨
84,양파,1개
84,밥,2공기
84,대파,
85,간장,1큰술
85,맛술,1큰술
85,다진 청양고추,2큰술
85,다진마늘,1/2큰술
85,설탕,1/3큰술
85,후춧가루,약간
85,굴소스,1/2큰술
85,고춧가루,1큰술
85,김치,1/6포기
85,참기름,1/2큰술
85,포도씨유,4큰술
85,밥,2공기
85,당근,1/5개
85,양파,1/3개
85,오징어,1/2마리
85,칵테일 새우,10마리
85,깨소금,약간
86,맛술,1숟가락
86,후추,약간
86,소금,약간
86,버터,2숟가락
86,진간장,1숟가락
86,굴소스,2숟가락
86,식용유,2숟가락
86,냉동해물모듬,1.5공기
86,대파,1대
86,당근 조금,45g
86,양파 반개,140g
86,숙주 한줌,100g
86,마늘,5톨
86,밥,2공기
87,매운 고추,1개
87,달걀,1개
87,마늘,3알
87,굴소스 2작은술~,3작은술
87,밥,2공기(약 250g)
87,해물믹스,100g
87,식용유,1큰술 정도
88,밥,1공기
88,열무,1/2밥공기양
88,참치캔,100g(제일작은사이즈)
88,계란,1개
88,고추장,1스푼
88,참기름,1스푼
88,올리고당,1스푼
88,깨,1스푼
88,마늘,1/3스푼
88,간장,1스푼
89,깨소금,1t
89,참기름,1t
89,깨소금,적당량
89,설탕,1/2t
89,고추장,2T
89,열무김치,1줌
89,참기름,적당량
90,참기름,1스푼
90,물엿,1스푼
90,매실,1스푼
90,,
90,고추장,2스푼
90,열무김치,
90,계란,
90,밥,
90,각종야채들(당근/상추),
91,다진생강,2큰술
91,설탕,4큰술
91,멸치액젓,1/3컵
91,소금물,2리터
91,새우젓,1컵반
91,다진마늘,4큰술
91,양파,1개
91,찹쌀풀,1/2컵
91,고춧가루,1컵반
91,홍고추,15개
91,절일 굵은소금,1컵
91,열무,1단
91,양파,1/2개
92,계란,
92,설탕,1스푼
92,고추장 듬뿍,2큰술
92,오이,
92,참기름,3스푼
92,표고버섯,
92,당근,
92,호박,
92,열무김치,
92,상추,
93,후추,약간
93,생강,약간
93,참기름,1바퀴
93,간 마늘,1숟갈
93,물,6소주잔
93,맛술,1소주잔
93,설탕,1소주잔
93,당근,적당량
93,쪽파,적당량
93,양파,1/2개
93,대파,1뿌리
93,표고버섯,2개
93,소고기,600g
93,간장,1.5소주잔
94,후춧가루,약간
94,참기름,0.5
94,후춧가루,
94,간장,2
94,맛술,2
94,청주,1
94,굴 소스,1
94,소금,
94,설탕,1
94,청주,1
94,밥,2공기
94,멸치 다시마 육수,2컵
94,달걀,2개
94,대파,1/2
94,양파,1/2
94,소불고기,200g
94,다진 마늘,0.5
95,참기름,1스푼
95,통깨,1스푼
95,매실,2스푼
95,설탕,1스푼
95,다진마늘,1스푼
95,진간장,12스푼
95,후춧가루,약간
95,물,250~300ml
95,말린 표고버섯,1줌
95,대파,1개
95,양파(중),1개
95,소고기 불고기감,570g
95,녹말,1스푼
96,후추가루,1/3작은술
96,양파,1/3개
96,사과(또는 배),1/4개
96,간마늘,1큰술
96,설탕,1/4컵
96,간장,2/3컵
96,잔파,3대
96,양파,1/2개
96,당근,1/3개
96,소고기샤브샤브,2국자
96,물,2/3컵
97,통깨,약간
97,소금,약간
97,후추,약간
97,참기름,1T
97,다시마 육수,5T
97,다진마늘,1T
97,배즙,3T
97,매실청,1T
97,밥,2공기
97,간장,4T
97,마늘,6쪽
97,당근,1/2개
97,양파,2개
97,대파,2뿌리
97,청주,2T
97,쇠고기 불고기감,400g
97,설탕,1T
98,참기름,1T
98,새우젓(소금),1t
98,다진마늘,1T
98,고추가루,3T
98,땡초,
98,국간장,1T
98,콩나물,
98,소고기국거리,
98,무,
98,멸치육수,
98,대파,
99,소금,조금
99,국간장,2T
99,대파,3대
99,다진 마늘,1T
99,삶은 소고기,200g
99,소고기 육수,6C
99,콩나물,1봉
100,소금,약간
100,물,1L+약간더
100,액젓,1T
100,국간장,2T
100,청주(미림),2T
100,후추가루,약간
100,들깨가루,4T
100,불고기감,350g
100,콩나물,1+1/2줌(150g)
100,청경채(또는 얼갈이배추/배추 해당량),1포기
100,무,300g
100,들기름,4T
100,다진파,1줌
100,고추가루,2T
100,간마늘,1T
100,매운고추(청양고추/할라피뇨/세라노등),2개
101,후추,약간
101,미림,2숟갈
101,국간장,1숟갈
101,참기름,1숟갈
101,다진마늘,1숟갈
101,된장,1/2숟갈
101,국간장,4숟갈
101,토란대(삶은것),1줌
101,얼갈이배추,1/2단
101,콩나물,2줌
101,대파,1대
101,무,1/3개
101,소고기국거리,300g
101,고춧가루,3숟갈
102,쪽파(대파),4줄기
102,통마늘,10개
102,대파,2대
102,후추,1큰술
102,무,1/2개
102,콩나물,300g
102,다진마늘,2큰술
102,소고기양지부위,600g
102,소고기양지부위,600g
103,설탕,1/4큰술
103,다진마늘,1큰술
103,대파,1/2뿌리
103,청피망,1/2개
103,굴소스,1큰술
103,홍피망,1/2개
103,양파,1/4개
103,베이컨,4줄
103,양송이버섯,8개
103,맛술,1큰술
103,참기름,3~4방울
103,후춧가루와,톡톡톡
104,참기름,1/2T
104,썰은 대파,1T
104,양파,1/2개
104,소고기,60g
104,양송이(大),5개
104,다진 마늘,1t
104,간장,1T
104,굴소스,1/2T
104,물,2컵
104,밥,2공기
104,올리브유,약간
104,후추,약간
104,소금,약간
104,전분가루,1T
105,당근,약간
105,양송이버섯,200g
105,애호박,약간
105,밥,적당량
105,참기름,1큰술
105,소금,약간
105,진간장,2큰술
105,굴소스,1큰술
105,물,6큰술
105,녹말가루,1큰술
105,검은 통깨,약간
105,포도씨유,1큰술
105,마늘,3쪽
105,양파,1/2개
105,후춧가루,약간
106,후추,약간
106,소금,약간
106,스테이크소스,1큰술
106,청주,1작은술
106,케찹,2작은술
106,우스타소스,1작은술
106,간장,1+1/2큰술
106,멸치육수,1컵
106,소금,약간
106,후추,약간
106,밀가루,1+1/2큰술
106,느타리버섯,40g
106,양파,1/2개
106,돼지고기,120g
106,매실액,2큰술
107,참기름,1큰술
107,후춧가루,약간
107,진간장,2큰술
107,양송이버섯,200g
107,굴소스,1큰술
107,,
107,검은통깨,약간
107,포도씨유,1큰술
107,마늘,3쪽
107,소금,약간
107,애호박,약간
107,양파,1/2개
107,당근,약간
107,녹말가루,1큰술
108,참기름,1T
108,다진마늘,1T
108,간장,5T
108,고춧가루,3T
108,고추장,1T
108,달걀,
108,당근,
108,양파,
108,양배추,
108,대파(채썬 것),1줌
108,오징어,2마리
108,설탕,1T
109,후추,조금
109,밥,2공기
109,고춧가루,2스푼
109,다진마늘,1/2스푼
109,설탕,1스푼
109,고추장,1스푼
109,국간장,1스푼
109,양파 채썬것,1공기 가득
109,오징어 자른것,1공기 가득
109,소금,조금
109,파,조금
110,참깨,1큰술
110,참기름,1큰술
110,송송 썬 대파,15cm
110,물엿,1+1/2큰술
110,후춧가루,약간
110,납작 썬 주키니호박,1/4개
110,채 썬 깻잎,1줌
110,다진 마늘,1큰술
110,고춧가루,2큰술
110,설탕,1큰술
110,간장,1+1/2큰술
110,채 썬 양파,1/2개
110,짧게 채 썬 오징어,1마리
110,고추장,1+1/2큰술
111,참기름,1큰술
111,고추가루,2큰술
111,올리고당 (쌀엿),1+1/2큰술
111,다진마늘,1작은술
111,생강즙,약간
111,매실액,약간
111,간장,1큰술
111,꽈리고추,
111,홍고추,
111,부추,
111,양배추,
111,오징어,
111,후춧가루,약간
111,고추장,1작은술
112,오징어,2마리
112,매실액,1큰술
112,진간장,1+1/2큰술
112,국간장,1큰술
112,고춧가루,2큰술
112,고추장,2큰술
112,양파,1개
112,황 설탕,1/2큰술
113,물,700ml
113,해물믹스,1컵
113,청주,2큰술
113,카레용돼지고기,180g
113,호박,1/5개
113,당근,1/5개
113,양파,1/2개
113,양배추,1컵
113,다진마늘,1큰술
113,짜장가루,100g
113,대파,1/2대
113,다진생강,1t
114,짜장가루,1팩
114,물,4컵
114,사과,1개
114,애호박,1/2개
114,당근,1/2개
114,양파,1개
114,돼지고기,1주먹
115,메이플시럽,2t
115,전분물,적당히(농도에맞게)
115,호박,1/2개
115,다진마늘,1큰술
115,생강가루,1t
115,대파,1컵
115,버섯,1컵
115,양배추,1/5개
115,오이,1/2개
115,양파,1/2개
115,돼지고기,1컵
115,식용유,3컵
115,춘장 시판용춘장,1개
116,후춧가루 뿌리기,3번
116,다진 마늘,1/2T
116,식용유,적당량
116,짜장가루,1+1/2국자
116,완두콩,10알
116,오이,1/4개
116,달걀,1개
116,돼지고기 안심,300g
116,양파,2개
116,애호박,1개
116,감자,3개
116,당근,1개
117,다진생강,1/3숟가락
117,간장,2+1/2숟가락
117,다진 대파,1/2종이컵
117,황설탕,1/3종이컵
117,식용유,1/2종이컵
117,다진돼지고기,1종이컵
117,다진 양파,1+1/2종이컵
117,춘장,150g
117,소금,약간
117,완두콩,약간
117,밥,1공기
117,달걀,4개
117,굴소스,3숟가락
118,후추,약간
118,통깨,약간
118,표고버섯,4개
118,설탕,1+1/2큰술
118,당면,300그람
118,돼지고기 등심이나 안심,200그람
118,양배추,100그람
118,당근 6cm길이,1개
118,양파,1개
118,대파,1/2대
118,다진마늘,1작은술
118,간장,5큰술
118,물,1컵
118,굴소스,2큰술
119,설탕,1티스푼
119,간장,1큰술
119,굴 소스,1큰술
119,물,1/4컵
119,기름,2큰술
119,다진 마늘,1큰술
119,다진 파,1/2종이컵
119,잡채,1접시
119,고춧가루,1큰술
120,고추기름,2큰술
120,깨,
120,참기름,
120,청양고추,
120,굴소스,2큰술
120,양조간장,2큰술
120,물,1.5컵(종이컵)
120,소금,
120,국간장,1큰술
120,돼지고기(잡채용),조금
120,표고버섯(or버섯) 슬라이스,1줌
120,양파,1/2개
120,당근,1/3개
120,당면,1줌( 500원크기)
120,후추,
120,식용유,
120,설탕,1.3큰술
120,국간장,1큰술
120,마늘,
121,청고추,
121,잡채,500g
121,돼지고기,
121,시금치,1단
121,버섯,
121,참기름,1T
121,당근,
121,조미술,2T
121,굴소스,2T
121,간장,1T
121,후추,
121,양파,1/2개
121,다진마늘,1/2T
121,간장,1/2T
121,청주,1/2T
121,홍고추,
121,설탕,1T
121,생강즙,1/2T
122,참기름,
122,당면,
122,당근,
122,애호박,
122,양파,
122,돼지고기(잡채용),
122,간장,
123,청경채,1포기
123,새우,13마리
123,오징어 몸통,1/2마리
123,손질주꾸미,1팩(대략 220g)
123,굴소스,3큰술
123,물,6큰술
123,녹말가루,3큰술
123,물,1+1/2컵
123,다진마늘,1큰술
123,고추기름,3큰술
123,양배추,2줌(120g)
123,표고버섯,3개
