recipe_id,food_id,요리,레시피 고유 번호,레시피 제목,요리명,요리 소개,스크랩수,재료,요리인분,요리 난이도,요리 시간,img
11,3,콩밥,5025458,완두콩밥,완두콩밥,쌀과 찰현미  완두콩으로 밥을 지어 보려고 합니다. 한끼식사도 든든하고 맛있게 즐길 수 있는 완두콩밥 소개합니다.,66,[재료] 쌀| 찰현미| 완두콩| 물,2인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/11/11_recipe_img.jpg
12,3,콩밥,6829189,건강에 좋은 렌틸콩밥,렌틸콩밥,건강에 좋은 렌틸콩으로 밥을 지어볼게요.,65,[재료] 쌀 1컵| 렌틸콩 2큰술| 물 1컵 등 (1인분 ),1인분,중급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/12/12_recipe_img.jpg
13,4,보리밥,6882802,강된장과 보리밥,보리밥,주말 별미로 맛있게 드실 보리비빔밥입니다. 강된장만 맛있게 준비하셔도 보리밥에 쓱쓱 비비시면 한그릇 뚝딱입니다. 오늘은 멸치를 넣어서 만드는 멸치강된장 올립니다.,107,[멸치강된장] 된장 6큰술| 고추장 1큰술| 멸치가루 3큰술| 애호박 1/2개| 표고버섯 5개| 양파 1/2개| 풋고추 3개| 홍고추 1개 [양념] 다진파 4큰술| 다진마늘 2큰술| 설탕 1큰술| 쌀뜨물 3컵| 참기름 2큰술 [보리밥5인분] 멥쌀2컵 찰보리쌀3컵,6인분이상,중급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/13/13_recipe_img.jpg
14,4,보리밥,4966347,여름 별미 감자보리밥 만드는 법 ,보리밥,여름을 앞두고 다이어트 식단을 짜 봐야겠다는 생각에 만들어 본 여름 별미 감자보리밥입니다.,88,[재료] 보리쌀 1+1/2컵| 쌀 1/2컵| 감자(중사이즈) 3개| 물 2컵,3인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/14/14_recipe_img.jpg
15,4,보리밥,6911223,새싹보리밥,새싹보리밥,안녕하세요? 밥심은 국력입니다. 새싹보리는 대사증후군 잡는 최고의 식재료로 눈길을 끄는데요. 새싹보리에 함유된 폴리코사놀은 좋은 콜레스테롤 수치 상승  나쁜 콜레스테롤 수치 개선  고지혈증  당뇨병 대사증후군 요인을 예방합니다. 새싹보리 100g에는 342mg의 폴리코사놀이 함유돼 있는데  사탕수수의 12배에 해당하는 양이구요. 새싹보리 100g에는 약 1500mg의 사포나린이 들어있는데  이 성분은 간 해독 능력을 높여 비만 억제 대사증후군을 완화시킨답니다. 오늘은 새싹보리밥을 만들어보겠습니다.,17,[재료] 쌀 3컵| 밥물은 쌀의 1.2배| 새싹보리분말 1/2큰술 등,6인분이상,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/15/15_recipe_img.jpg
16,4,보리밥,6890409,혼밥 곤드레보리밥,곤드레보리밥,곤드레나물밥을 했어요 보리쌀넣고,12,[재료] 데친곤드레나물 200g| 불린 보리쌀 1/2종이컵| 불린 멥쌀 1/2종이컵| 물 1+1/2종이컵 [양념(나물)] 꽃소금 1/2t| 들기름 1t,1인분,아무나,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/16/16_recipe_img.jpg
17,4,보리밥,6913871,아삭한 열무김치~보리밥에 쓱싹 비벼먹어봅시당!,열무김치보리밥,제철열무로 열무김치 만들어 보리밥과 비벼드셔보세요~,7,[재료] 열무 3단| 양파 1개| 홍고추 10개 [양념] 굵은소금 300g| 멸치액젓 6큰술| 고추가루 6큰술| 설탕 4큰술| 다진마늘 3큰술| 생강가루 1티스푼| 찹쌀풀 200g| 소금 1큰술| 통깨 1큰술,6인분이상,아무나,2시간이상,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/17/17_recipe_img.jpg
18,5,돌솥밥,6898197,버섯돌솥밥 ☆ 제철버섯들로 건강하게!,버섯돌솥밥,버섯향이 솔솔~ 식감은 쫄깃! 한입 먹기만했는데 건강해지는 기분 ~_~  세상의 모든 레시피 만개의레시피  ,346,[필수재료] 표고버섯 2장| 새송이버섯 1/2개| 배추 2장| 양파 1/6개| 애호박 1/5개| 당근 20g| 불린쌀 1종이컵 [양념장재료] 간장 3숟가락| 물 3숟가락| 참기름 1숟가락| 다진파 약간| 통깨 약간| 홍고추 1/3개,2인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/18/18_recipe_img.jpg
19,5,돌솥밥,6901859,돌솥밥,돌솥밥,안녕하세요? 밥심은 국력입니다. 쌀이 좋으면 밥을 해놓아도 아주 맛있는데요. 씻어 나온 쌀이라서 한번만 행궈주면 되구요. 돌솥을 이용해서 돌솥밥을 만들어 보겠습니다.,83,[재료] 쌀 1컵| 물 1+1/4컵| 대추 1개,2인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/19/19_recipe_img.jpg
20,5,돌솥밥,6920058,고추참치치즈돌솥밥,고추참치치즈돌솥밥,간단한 냉파요리  한그릇메뉴 치즈가 쭈욱 늘어나는 참치치즈돌솥밥입니다!,76,[재료] 고추참치 작은거1개| 다진양파 2T| 다진파 0.5T| 다진당근 0.5T| 치즈 3T| 콘옥수수 1T| 참기름 0.5T| 모짜렐라피자치즈 3T,1인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/20/20_recipe_img.jpg
21,5,돌솥밥,6945610,냄비밥 보다 쉬운 돌솥밥 만들기  누룽지와 숭늉은 서비스,돌솥밥,돌솥은 특성상 쉽게 타지 않아 냄비밥보다 쉬운데 맛이 더 구수하죠~ 돌솥밥 짓는 방법은 세 가지 정도가 있는데 어떻게 지어도 맛은 똑같기 때문에 그중 가장 쉬운 방법을 알려드릴게요 ^^,66,[재료] 쌀 1컵| 찹쌀 0.5컵| 물 1.7컵,2인분,아무나,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/21/21_recipe_img.jpg
22,5,돌솥밥,2508253,굴버섯돌솥밥 ,굴버섯돌솥밥,영양만점 한끼식사 굴버섯돌솥밥입니다.,65,[재료] 굴 150g| 멥쌀 1컵| 잡곡 1/2컵| 표고버섯 1개| 느타리버섯 40g| 당근 30g| 물 1+1/2컵| 참기름 1큰술 [고추장아찌 양념장] 고추장아찌 5개| 매실청 1큰술| 참기름 1큰술| 고추가루 1/2큰술| 다진파 1큰술| 다진마늘 1작은술| 멸치다시육수(물) 2큰술,2인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/22/22_recipe_img.jpg
23,6,현미밥,4545652,소고기 시래기 김치 현미밥,현미밥,웰빙 건강밥으로 고소하고 맛좋은 소고기 시래기 김치 현미밥입니다.,231,[재료] 현미 2컵| 삶은 시래기 100g| 익은 김치 50g| 소고기 불고기감 150g| 은행 10알| 물 2컵 [소고기 양념] 간장 1큰술| 설탕 2/3큰술| 마늘 1작은술| 맛술 1큰술 [김치 양념] 들기름 1작은술 [시래기 양념] 국간장 1작은술| 들기름 1큰술| 다진마늘 1작은술,4인분,중급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/23/23_recipe_img.jpg
24,6,현미밥,6837739,100% 현미밥 짓는법,현미밥,건강에 좋고 다이어트에도 좋은 현미밥입니다. 100% 현미로 지어 더욱 고소하고 담백해요. ,147,[재료] 현미 5컵| 물 5.5컵 [양념] 소금 1작은술,3인분,초급,2시간이상,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/24/24_recipe_img.jpg
25,6,현미밥,5637217,시래기 현미밥 만들기,시래기현미밥,골다공증에 좋은 시래기 넣고 현미밥 만들기,117,[재료] 시래기| 현미| 콩,2인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/25/25_recipe_img.jpg
26,6,현미밥,6790140,성인병에 좋은 현미밥 짓기,현미밥,자꾸 먹다보면 고소한 맛도 느껴지고 먹을 만한 현미밥.,78,[재료] 현미 5컵| 물 5+1/2컵 [양념] 소금 1작은술,4인분,아무나,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/26/26_recipe_img.jpg
27,6,현미밥,6838235,고소한 현미밥 짓기,현미밥,밤도 같이 넣어서 달고 고소한 현미밥을 지어보았어요^^,40,[재료] 현미쌀 150g(종이컵으로 1컵)| 백미 150g(종이컵으로 1컵)| 밤 4개,3인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/27/27_recipe_img.jpg
28,7,흑미밥,6948938,흑미밥 만드는 법 쉬워요,흑미밥,흑미밥 만드는법 비율과 물 조절만 잘하면 됩니다. 몸에 좋은 흑미밥 만들기! ,5,[재료] 흑미 1컵| 쌀 3컵,2인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/28/28_recipe_img.jpg
29,8,감자밥,6830798,감자밥,감자밥,감자넣고 밥해서 비벼먹기만 하믄되니 넘 간단하니 레시피랄것도 없네요. ㅎ,163,[재료] 쌀 2컵| 감자 2개| 소금 1꼬집 [양념] 부추 1줌| 간장 4T| 다진마늘 1t| 설탕 0.3t| 참기름 1T| 고춧가루 1T| 통깨 0.5T,4인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/29/29_recipe_img.jpg
30,8,감자밥,3935962,곤드레 감자밥,감자밥,향긋한 향기 가득 영양만점 곤드레감자밥입니다.,123,[재료] 냉동곤드레 150g| 감자 120g| 쌀 2인분| 물 2컵| 당근 25g [곤드레무침양념] 들기름 1큰술| 소금 1/3작은술 [양념장] 간장 2큰술| 통깨 1큰술| 다진파(실파) 1큰술| 다진마늘 1작은술| 참기름 1큰술,2인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/30/30_recipe_img.jpg
31,8,감자밥,2516540,연근감자밥과 달래양념장,연근감자밥,연근은 식이섬유가 풍부해서 빈혈 고혈압예방에도 도움이 된대요~ 달래는 입맛없을때 딱인 식품이죠~ㅎㅎ 주말별미 한끼식사로 좋은 연근감자밥 만나보세요~~,72,[재료] 쌀 4인분| 연근 1/2개(90g)| 식초 2큰술| 물 적당량| 감자(중간크기) 2개| 표고버섯 2개| 당근 30g| 쇠고기다짐육 70g [쇠고기표고양념] 간장 1큰술| 설탕 1작은술| 참기름 1작은술| 다진마늘 1작은술| 다진파 1작은술 [달래양념장] 간장 3큰술| 참기름 1큰술| 맛술 1큰술| 달래 2큰술| 다진마늘 1/2작은술| 통깨 1작은술| 달래 30g,4인분,중급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/31/31_recipe_img.jpg
32,8,감자밥,6852644,감자요리 :: 감자활용 포슬포슬한 감자밥 만들기,감자밥,안녕하세요 요리하는여자화련입니다.  오늘은  7월제철음식 감자를활용해서 포슬포슬맛있는 감자밥을 만들어볼께요!!,62,[재료] 감자,4인분,아무나,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/32/32_recipe_img.jpg
33,8,감자밥,6885703, 당뇨에도 좋다는 돼지감자를 넣어서  돼지감자밥!,돼지감자밥,익힌 돼지감자!  과연 어떤 맛일까요... 밥과 함께 씹히는 정~말 부드러운 맛과 미세하게 느껴지는  돼지감자의 단맛이 좋은 돼지감자밥이에요. ,59,[재료] 돼지감자 60~70g| 쌀 2~3인분,3인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/33/33_recipe_img.jpg
34,9,곤드레밥,6884255,곤드레밥 만들기. 건곤드레 부드럽게 만드는법.,곤드레밥,향긋한 향이 일품인 곤드레밥. 집에서 만들어보아요.,553,[재료] 쌀 3-4컵| 건곤드레 30g [양념장] 양조간장 4T| 국간장 2T| 고춧가루 1T| 매실청 1T| 다진마늘 0.5T| 참기름 1T| 다진파 1.5T| 통깨 1T,6인분이상,초급,2시간이상,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/34/34_recipe_img.jpg
35,9,곤드레밥,6841740,전기밥솥 곤드레밥 만들기!!,곤드레밥,건곤드레나물을 가지고 곤드레밥을 해먹었어요 냄비밥 자신없는 초보주부....ㅠㅠ 전기밥솥으로도 충분하답니다!!!!! ,333,[재료] 건곤드레나물 20g| 쌀 2인분(쌀컵으로 1.5컵)| 간장 1숟갈| 참기름(들기름) 1숟갈 [양념] 진간장 3숟갈| 고춧가루 1/2숟갈| 참기름 1숟갈| 다진파 약간| 고추 약간| 마늘 약간| 통깨 약간,2인분,초급,2시간이상,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/35/35_recipe_img.jpg
36,9,곤드레밥,6859459,아마씨유를 넣은 ~곤드레밥♡ 아마씨유는 혈압을 낮추고 심장질환을 예방할수가 있어요,곤드레밥,강원도 정선에서 곤드레나물농사를 짓는 지인께서  작년에 많이도 보내주신적이 있는데요.  너무 맛있게 잘먹었어요.  이번에 주문을 해서 햇곤드레 나물을 먹게 되어  감사한 인연으로 좋은인연이 되었답니다.~^^  아마씨유가 골다골증 위험을 줄일수 있고요.  우울증도 치료하여 뇌의 건강을 북돋아 준다고 합니다..  또한 곤드레나물은비타민A가 많고.소화기에  좋은 식품이랍니다.  어렵고 힘든시절 정선에서 많이나는 나물로  끼니를 여러날 때워도 체하지 않고 소화가  잘되고 변비에도 좋다고 합니다,218,[재료] 곤드레나물 150g| 멥쌀 2컵| 아마씨오일 2큰술| 국간장 2큰술 [양념] 국간장 1큰술| 참기름 1작은술| 매실액 1작은술| 깨소금 1작은술| 다진 청고추 1작은술| 다진 홍고추 1작은술,4인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/36/36_recipe_img.jpg
37,9,곤드레밥,6903558,맛있는 곤드레밥과 빠끔장  다이어트에 도움되는 곤드레,곤드레밥,곤드레의 진한 향과 들기름을 더해 고소~함이 어우러진 아주 맛있는 곤드레밥입니다. 한식대첩에서 극찬을 받았던 강원도식 빠끔장도 만들어 함께 하면 곤드레밥의 정점을 찍게 됩니다.  곤드레는 열량이 낮고 섬유질이 풍부해 건강과 다이어트에도 도움이 된답니다. 건강하고 맛있는 곤드레밥 드세요~^^,143,[재료] 곤드레 삶은 것 250g| 불린쌀 2컵| 들기름 2+1/2큰술| 소금 1/2작은술 [빠끔장] 된장 200g| 소고기 잘게 썬 것 1/2컵| 호박 잘게 썬 것 2/3컵| 양파 잘게 썬 것 2/3컵| 표고버섯 잘게 썬 것 2/3컵| 대파 잘게 썬 것 1/2컵| 마늘 편 썬 것 5알| 청양고추 잘게 썬 것 1개| 식용유 적당히| 참기름 1큰술 [전분물] 전분가루 2큰술| 물 5큰술 [빠끔장육수] 무| 멸치| 다시마| 표고,4인분,아무나,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/37/37_recipe_img.jpg
38,9,곤드레밥,6852410,곤드레밥  구수한 곤드레밥 만들기,곤드레밥,곤드레는 나물밥으로 유명해요. 과거 먹고살기 힘든 시절 모두가 궁핍하던 보릿고개를 넘기던 때 끼니를 때우기 위해 지어먹던 밥이에요.,117,[주재료 ] 쌀 2컵| 건곤드레 1줌 [간장양념] 간장 4스푼| 설탕 1스푼| 고춧가루 1스푼| 다진 파 1스푼| 다진 마늘 0.5스푼| 참기름 0.5스푼| 깨 약간,2인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/38/38_recipe_img.jpg
39,10,김치볶음밥,5590466,스팸 김치볶음밥,스팸김치볶음밥,오늘은 아침 겸 미리 점심메뉴로 스팸김치볶음밥을 만들어 먹었답니다. 집에 널려있는 게 캔햄인지라.. 묵은지는 없었지만 마침 볶음용으로 조금 남겨두었던 맛김치가 익어있더라구요. 찌개를 끓여 먹을 까 싶었으나 양념을 거의 하지 않는 찌개에는 맛이 없는 김치인지라.. 양념 가득 넣어 볶아내는 김치볶음밥으로 선택했어요. 매콤하면서도 양념을 넉넉하게 넣어 촉촉하게 즐길 수 있는 한그릇요리 스팸김치볶음밥만드는법 소개해드릴게요,37485,[재료] 김치| 스팸| 밥 [양념] 굴소스 1+1/2큰술| 올리고당 1+1/2큰술| 고추장 1큰술| 맛술 1작은술| 참기름 1큰술| 후춧가루 약간,2인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/39/39_recipe_img.jpg
40,10,김치볶음밥,6888583,집밥백선생 백종원의 참치김치볶음밥 황금레시피!!,참치김치볶음밥,가끔은 김치볶음밥이 땡기는 날이 있죠?! 묵은지와 밥만 있으면 만들 수 있는 김치볶음밥! 여기에 참치와 대파를 추가해서 풍미가 한층 UP되는 집밥 백선생 백종원의 참치김치볶음밥을 만들어봤어요. ,14978,[재료] 밥 400g| 묵은지 250g| 참치 100g| 대파 1/2대| 계란후라이 2개| 간 마늘 1T| 고춧가루 2~3T| 설탕 1/3T| 간장 2~3T| 식용유 적당량,2인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/40/40_recipe_img.jpg
41,10,김치볶음밥,6876755,백종원 김치볶음밥 레시피 누구나 쉽게 만드는 팁까지 ,김치볶음밥,요리 하면 백선생님을 모르는 사람이 없을정도죠^^ 레시피계에서 따라하면 실패확률이 거의 없는 금손 레시피  누구나 쉽게 만드는 TIP도 챙겨가세요!,11073,[재료] 밥 1공기| 신김치 1/2공기| 대파 1대| 계란 1개| 기름 2T [양념장] 간장 1T| 고춧가루 1T| 참기름 1/2T [계란 밑간] 미림(맛술) 1/2T| 소금 1꼬집,1인분,아무나,10분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/41/41_recipe_img.jpg
42,10,김치볶음밥,6864952,백종원 참치김치볶음밥 한그릇 요리로 딱이지 ♪,참치김치볶음밥,https://www.youtube.com/watch?v=YmWZdM1l-zU  제 유튜브 채널에서도 함께 봐주시면 좋을거 같아요^^ 주말에 늦잠 자고 일어나 간단하게 해먹을 거 생각하다가  참치김치볶음밥 해먹고 신랑에게 칭찬 받았어요 ♬  정말 쉬우면서도 맛은 그야말로 꿀맛 ♡ 매콤달콤한게 딱 제 스타일~~  주말 한끼로 제격인 참치김치볶음밥 레시피 알려드릴게요,8024,[재료] 김치 2/3국그릇| 참치 1캔| 대파 1뿌리| 식용유 3스푼| 간장 2스푼| 설탕 1/2스푼| 참기름 약간| 밥 1공기,2인분,아무나,10분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/42/42_recipe_img.jpg
43,10,김치볶음밥,6852249,백전백승! 실패없는 김치볶음밥,김치볶음밥,이 레시피대로만 따라하면 절대! 실패따윈 두려워 하지 않아도 되!  세상의 모든 레시피 만개의레시피,6807,[필수재료] 밥 1공기| 다진 양파 3큰술| 다진 김치 1/2컵| 다진 햄 3큰술 [양념장] 설탕 2/3큰술| 김칫국물 2큰술| 고추장 2/3큰술| 부순 참깨 1큰술| 들기름 또는 참기름 1큰술,1인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/43/43_recipe_img.jpg
44,11,주먹밥,6873894,(일본가정식) 구운 주먹밥 - 야끼 오니기리,구운주먹밥,간단히 먹을 수 있는 주먹밥 :)   남은 밥 처리하기도 좋고  도시락으로도 좋고 ♬♪  저는 만들 때 잔뜩 만들어놓고 하나씩 냉동시켜서  출출할 때마다 전자레인지에 돌려서 먹으면 간편하게 한 끼 해결!!   일반 주먹밥도 맛있지만  간장소스를 발라 앞뒤로 구워내 더욱 감칠맛있는 야끼 오니기리 가져왔습니다 ,13456,[주재료] 밥 4인분| 참치 1캔 (150g)| 후리가케 2인분 [필요양념] 참기름 4큰술 [간장소스] 진간장 2큰술| 맛술 1큰술| 설탕 0.5큰술| 올리고당 1큰술 [계량] 밥숟가락 계량,4인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/44/44_recipe_img.jpg
45,11,주먹밥,6848377,소세지 꽃 주먹밥 만들기 # 피크닉 도시락,소세지꽃주먹밥,바쁜 엄마들을 위한 초간단 주먹밥 도시락 예쁘고 맛있게.~,8533,[재료] 통통소세지 3개| 양파 20g| 당근 20g| 애호박 20g| 밥 1공기| 소금 1꼬집| 참기름 1T,1인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/45/45_recipe_img.jpg
46,11,주먹밥,6727692,참치마요주먹밥,참치마요주먹밥,신랑 도시락~ 간단하지만 맛있는 참치마요주먹밥 만들기!,8268,[재료] 햄| 당근| 양파| 애호박| 달걀2개| 참치 1캔 [양념] 마요네즈| 김가루,1인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/46/46_recipe_img.jpg
