recipe_id,step,recipe
6,2,쌀도 불리고 잡곡쌀도 물에 불려둡니다.
6,3,"불린 쌀과 잡곡을 섞어서 밥솥에 넣어줍니다,"
6,4,메뉴 선택에서 잡곡밥을 선택해주세요. 화면이 잘 안 찍혀서 저 사진만 몇 장을 찍은 건지....^^;;
6,5,백미보다 시간이 좀 더 걸리는듯 하더라구요. 흰밥 먹다가 잡곡밥 먹으니 고소함이 가득하네요
6,6,"단호박 영양밥이니 단호박이 있어야겠죠. 좀 전에 마트에서 1,980원 주고 사 왔어요."
6,7,뚜껑을 따야 하는데 칼이 안 들어 간다고요? 걱정 마세요~ 전자렌지에 3분 돌리고 2분을 추가로 더 돌린 후에 꺼내서 자르면 칼이 잘 들어간답니다. 딱딱한거 자르다가 손 다치지 말고 전자렌지를 이용하세요.전자레인지
6,8,뚜껑을 열고 숟가락으로 안에 호박씨를 빼내주세요.
6,9,혹시나 밑에 흰쌀밥을 넣으면 투톤의 밥이 될까 싶어서 밑에는 흰쌀밥을 넣었어요.
6,10,위에는 잡곡밥으로 꼭꼭 채워 넣었답니다.
6,11,찜통에 넣고 쪄줄 거랍니다. 저 이틀 전에 손 데였어요 ㅠ.ㅠ 최대한 사진에 안 보이게 찍으려고 하는데 요기조기 프레임에 걸리네요.
6,12,타이머로 20분 맞춰줍니다. 전자렌지에 5분을 익혀서 한 15분쯤 해도 될 거 같긴 해요.
6,13,단호박이 잘 익었네요. 4등분으로 잘라줍니다. 흰밥을 넣어서 아래는 흰밥이고 위에는 잡곡밥의 경계선이 나타날줄 알았는데 그다지 티가 안나네요. ㅋㅋㅋ 그냥 잡곡밥으로 다 할껄 그랬나봐요.
6,14,단호박 잡곡밥 정월대보름 음식
7,1,병아리콩은 찬물에 5~6시간정도 불려주세요. 바로 사용하기엔 딱딱해서 불려주어야 한답니다.
7,2,크기도 두배정도 커지고 색도 더 노랗게 변한 병아리콩입니다.
7,3,병아리콩 삶는방법은 병아리콩 1컵에 물 3컵 비율로 소금 1작은술을 넣어 20분정도 삶아주면 되요.
7,4,잘 삶아진 병아리콩은 체에 받쳐 물기를 제거해주고 소분해서 냉동실 보관했다가 꺼내먹으면 된답니다.
7,5,삶은 병아리콩으로 밥짓기 일반 밥 할때랑 물은 똑같이 잡으면 되고 쌀 위에 삶은 병아리콩을 쌀의 20%정도 올려주면 됩니다.
7,6,취사를 마친 병아리콩 밥 구수한 향기가 아주 좋아요.
8,1,흰강낭콩은 탄수화물 차단제인 파세올라민이 완전높게 풍부하게 있어 유명 해졌다는데요~  처음에 사고 이걸 몇분 불려야 하는지 껍질은 까야 하는지 잘모르겠드라구요ㅎㅎ 팔팔 끓는물을 부어서 35분 동안 불려 주세요~ 천천히 찬물에 불리실 경우는 4~5시간 이상 불리셔야해요~^^
8,2,"흰강낭콩 200g,쌀300g 인데요~ 저는 하루에 한끼만 밥을 먹어서 강낭콩 비율이 아주 높아요~!! 소화기관이 약하신분들은 하루에 60알 이상 먹게 되면 설사나 구토,가스가 차거나 더부룩함을 느낄수 있으니 세끼 다드실분은 강낭콩 비율을 줄여서 준비해 주세요~!!!!!!"
8,3,35분후에 만져 보시면 껍질이 자연스럽게 분리가 될꺼에요 저는 껍질은 따로 까지않고 다먹어요^^
8,4,"씻은쌀이랑 콩을 붓고 밥을 지으심 끝이에요~ 단, 10~15분이상 꼭 가열 해서 푹익혀 드셔야해요~!! 렉틴(?)성분 때문에 절대 생으로 드심 안된다네요^^ 두유로 드실때도 15분 정도 삶아서 드셔요~~^^"
8,5,여기서 하나더~! 저는 개인적으로 주물냄비는 무겁고 관리가 까다로워서 사놓고 잘사용 안하는데요~ 밥지을땐 전기밥솥보다 밥맛이 좋아서 이걸로 해요ㅋ 주물냄비로 밥하기 팁은 쌀을 넣고 손가락 한마디 정도의 물을 넣고 약불에 5분 그담 중불로 올려서~
8,6,밥이 늘러 붙지않게 죽끓이듯이 계속 저어 주세요~ 저으시다보면 사진처럼 물기가 없어지는데 ~
8,7,이때 두껑덮어서 최대약불(꺼지기 직전 약불)로 줄여서 10분~ 그다음 불끄고 5분정도 뜸들여 주시면 되요^^  (누룽지를 원할땐 중불보다 조금 약하게)
8,8,우리가족님은 쌀밥을 먹는지라 저는 이렇게 일주일치 밥을 해서 냉동보관 해놨다가 하나씩 꺼내서 먹어요ㅋㅋ 콩양이 어마무시 하죠~;;저는 밥은 하루한끼라 이렇게 많지만 절대 3끼 다드실땐 하루 60알을 넘기시지 마셔요^~^/
9,1,쌀을 씻을때는 손으로 박박 문지르는것보단 이렇게 거품기등을 이용해 살살 씻어주는것도 요령이라고 하는데요. 제가 해도 이 방법이 좋긴해요.
9,2,지인부부가 밤새 콩깍지에서 분리해낸 완두콩~
9,3,요즘은 머 전기 밥솥이 워낙 잘 나와 있어서 밥을 하는건 그리 어렵지 안잖아여~ 식구수대로 쌀을 씻고 완두콩을 올리고. 쌀양에 대한 물을 부어주면 되어여~ 완두콩에서 수분이 나오니까 물양은 아주 초큼 줄여서 넣어주는 쎈쑤~
9,4,식욕 자극하는 완두콩밥 완성~
10,1,담양 쌀과 찰현미는 문질러서 씻은 후 전기밥솥에 담아줍니다.
10,2,완두콩은 체에 밭쳐 흐르는 물에 씻어줍니다. 완두콩은 쌀을 담은 전기밥솥에 넣고 물을 적당량 붓고 밥을 지어요. 현미밥 버튼으로 눌러서 밥을 지으면 됩니다.
10,3,뜸이 들고 완두콩밥이 완성되면 살살 섞어줍니다.
11,1,쌀 1컵은 서너번 정도 씻어주세요.
11,2,렌틸콩은 크기가 작아서 체에 받쳐 씻는 것이 편하답니다. 요것도 서너번 세척해주세요.
11,3,쌀 1컵과 렌틸콩 2큰술을 넣어줍니다. 1인분입니다.
11,4,물은 동량으로 1컵을 넣어줍니다.
11,5,요 상태에서 불릴 필요없이 바로 밥을 합니다.
11,6,"불을 처음부터 약하게 하고 뚜껑을 닫아서 완성시키면 불 조절도 필요없구요. 밥물이 끓을 때쯤 뚜껑을 약간만 열어서 밥물이 넘치지 않게만 하면 됩니다. 뚝배기들이 뚜껑 없는 것들이 많은데, 이럴 때는 열에 강한 접시류를 얹어주어도 좋지요."
11,7,부드럽고 고소한 렌틸콩밥이 완성되었습니다.
12,1,"밀가루 3T, 부침가루 3T, 카레가루 1/4t, 고추가루 1/4t 두번 넣고 섞어주세요"
12,2,여기에 달걀 2개를 곱게 풀어줍니다 통깨 1/2T 도 넣고 섞어주세요
12,3,"호박,양파,버섯,고추는 잘게 자른다."
12,4,냄비에 참기름을 두르고 채소를 넣어 볶는다.
12,5,"된장,고추장을 넣어 볶아주고"
12,6,멸치가루를 넣어 고루 섞는다.
12,7,설탕을 넣어 섞고
12,8,쌀뜨물을 넣어 끓인다.
12,9,국물이 자작해질때까지 중불에서 끓이다가 다진파와 마늘을 넣어주고
12,10,통깨 뿌려 섞고 불을 끈다.
13,1,압맥(보리를 납작하게 만든 것)를 구입해서 백미와 살짝 섞어서 보리밥을 해 주었습니다. 요즘 보리는 오래 불리지 않아도 밥이 잘 되는 것 같습니다. 대략 30분 정도 불렸습니다.
13,2,감자는 껍질을 벗긴 후 큼직하게 썬 후 찬물에 헹궈 주세요.
13,3,"밥솥에 보리쌀, 쌀, 감자를 넣고 밥물을 넣어 주세요."
13,4,진짜 맛있는 감자 보리밥이 완성이 되었습니다.
13,5,약고추장에 감자 보리밥을 비벼 먹었더니 정말 다른 반찬이 필요없더라고요.
14,1,인터넷몰에서 새싹보리분말을 구입하세요. 새싹 보리분말을 반 큰술이 필요합니다.
14,2,쌀은 3인분으로 깨끗이 씻어서 준비합니다.
14,3,밥솥에 쌀을 넣고 밥솥의 눈금으로 3인분의 물을 맞춰줍니다. 그런 다음 새싹보리 반 큰술을 넣어줍니다.
14,4,고루 섞이도록 쌀과 함께 잘 저어줍니다.
14,5,이제 백미쾌속으로 취사를 눌러줍니다.
14,6,20분이면 완성이 되지요.
14,7,요렇게 새싹보리밥이 완성되었어요.
15,1,곤드레를 씻어서 데쳐줍니다. 물이 끓을때 소금1T넣고 냄비 가장자리가 보그르 끓어오를때까지만 살짝 데쳐요
15,2,찬물에 행궈주고요
15,3,보리쌀을 많이 섞어 30분 불립니다. 보리쌀이 많지않으면 10분만 불려주면 되어요 압력밥솥에 할꺼예요
15,4,데친 곤드레나물은 소금과 들기름 넣어 조물조물 (싱거운나물무침 정도)
15,5,"쌀 불리는 동안 양념비빔장 만들어주세요 아기손으로 부추한줌 다지고, 물1컵 간장2컵 간마늘1T 설탕1/2T 고춧가루2T 들기름1T 깨소금1T 양념간장이 남으면 조림할때 사용하세요. (물과 간장은 소주컵 개량)"
15,6,쌀위에 곤드레나물얹고 일반취사
15,7,곤드레나물밥 완성 이예여
15,8,보리쌀을 많이넣어 밥물을 넉넉히 잡은거예요. 밥은 알맞게 되었어요. 질척이지 않아요
15,9,비빔장에 비벼 곤드레나물밥 맛있게 드세요.
16,1,열무 3단을 준비해주시고 무청과 무사이를 칼로 도려내시고 누런잎들을 제거해서 다듬어 주세요
16,2,절임용 굵은소금300g을 물 3L에 풀어서 소금물을 만들어 주신다음 손질한 열무 위에 뿌려주세요
16,3,열무를 소금물에 2시간을 절여주세요 1시간이 지나면 살포시 들어 뒤짚어 주세요 열무가 꺽이지않고 부드럽게 접히면 잘 절여진거예요
16,4,절여진 열무는 흐르는물에 열무의 무부분을 깨끗이 문질러 씻어주시고 열무를 살살 흔들어서 씻어주세요 채반에서 물기를 30분이상 빼주세요
16,5,양파 1개와 홍고추 10개와  멸치액젓 6큰술을 넣고 갈아주세요 *홍고추가 곱게 갈리지 않아도 되세요
16,6,5번에 다진마늘3큰술/ 생강가루 1작은술과 고추가루6큰술을 넣고 찹쌀풀 200g을 넣어주시고 설탕 4큰술을 넣어서 단맛을 추가하시고 간을 보시고 싱거우시면 액젓이나 소금으로 추가간을 해주세요
16,7,만들어진 양념에 물기가 빠진 열무를 조금씩 넣어주면서 버무려주세요 통에 잘머무려진 열무를 넣고  마무리로 위에 통깨를 뿌려주세요 하루나 이틀을 실온에서 보관후 김치냉장고에 보관하시면서 드세요 *저는 절여진 열무를 자르지않고 통째로 만들었어요 잘라서 버무려주셔도 되세요
16,8,아삭하면서도 새콤하게 잘익은 열무김치를 한입크기로 잘라서 보리밥과 들기름을 조금넣어서 쓱싹 비벼서 드셔보세요~
17,1,불린 쌀을 체에 밭쳐 물기를 제거한다.
17,2,"표고버섯, 새송이, 배추는 1cm 폭으로 채 썬다."
17,3,표고는 기둥을 제거하고 새송이는 결 반대로 썰어요.
17,4,"냄비에 불린 쌀을 넣고 버섯, 배추를 올린다. 물 1종이컵을 넣고 약불로 7분간 끓인다."
17,5,"불을 끄고 양파, 당근, 애호박을 넣고 3분정도 뜸을 들인다."
17,6,양념장을 만들어 밥에 넣고 비벼 먹는다.
18,1,씻어나온 쌀이라서 한번만 살짝 헹궈주세요. 물기를 제거해주시구요.
18,2,돌솥에 쌀과 물의 비율을 1:1.2배로 넣어줍니다.
18,3,뚜껑을 닫고 중불에서 밥물이 끓어 오를 때까지 끓여줍니다.
18,4,밥물이 끓기 시작하지요.
18,5,밥물이 끓어 넘치기 때문에 뚜껑을 살짝 열어둡니다.
18,6,요렇게 밥물이 거의 줄어들면 약불로 줄여줍니다.
18,7,밥물이 다 없어지면 불을 끄고 뜸을 10분간 들입니다.
19,1,재료를 준비해주세요.
19,2,뚝배기에 참기름0.5T 두르고 뚝배기를 중불로 예열해주세요 -중불 30초 정도
19,3,"약불로 줄인후 밥과 다진 야채,콘옥수수를 넣고 고루 섞어주세요 -섞은뒤 중약불로 2분간 누르도록 놔두세요."
19,4,"고추참치와 치즈를 올려준뒤 뚜껑을 덮어주세요. -약불로 1분정, 치즈가 녹아 있으면 불끄고 30초 정도 기다리면 완성입니다."
20,1,쌀과 찹쌀을 섞어 씻은 다음 물에 담가 30분간 불려주세요. 쌀만 쓰셔도 되고 잡곡을 섞더라도 총량을 한컵반에 맞춰주시면 됩니다~
20,2,돌솥에 불린 쌀을 담고 물 1.7컵을 부어요. 손가락 전체로 꾸욱 눌렀을 때 중지의 두 번째 마디까지 물이 올라오면 적당해요~ 물컵은 쌀컵과 동일한 컵입니다!
20,3,돌솥을 가스레인지에 올리고 뚜껑을 열고 센 불을 켭니다센불
20,4,사진처럼 표면에 물이 거의 보이지 않으면 뚜껑을 덮고 약불로 줄여 15분간 끓여주세요약불
20,5,15분 후 불을 끄고 10분간 뜸 들이면 맛있는 돌솥밥 완성입니다 ♡
20,6,누룽지 잘 만들어졌나 한번 볼까요?? 짜라잔~ 잘 만들어졌어요~ 누룽지가 부족하다~ 또는 더 눌었으면 좋겠다 하시면 뚜껑을 덮고 센 불을 켜서 5분 정도 따닥따닥 소리가 나게 익혀주면 됩니다
20,7,"뚜껑열고 센불에 물이 졸아들때까지 뚜껑덮고 약불로 15분 불끄고 뜸 10분, 어렵지 않죠?"
20,8,"윤기 잘잘, 찰지고도 고슬고슬하게 익은 밥을 그릇에 퍼 담고 바닥에 깔린 누룽지에 물 가득~ 부어 뚜껑을 빼꼼히 닫아주세요."
20,9,"맛있게 식사 끝내고 나면 끓이지 않아도 김 펄펄 나는 구수한~ 숭늉도 즐길 수 있어요^^ 버섯이나 밤, 은행 넣고 영양밥으로도 즐겨보세요 :D"
21,1,쌀과 잡곡은 깨끗이 씻어 불에 1시간이상 불려주세요.
21,2,"표고버섯은 잘게 썰어주시고 느타리버섯,당근은 채썰어주세요."
21,3,굴은 소금물에 살살 썰어 물기제거해주시구요.
21,4,돌솥에 참기름을 골고루 바른후에 버섯류를 넣어 볶아주세요.
21,5,불린쌀을 넣어 쌀이 투명해질때까지 볶아주신후에 물 1컵반을 넣어주세요.
21,6,뚜껑을 덮어 밥이 끓어오르면 중약불에서 뜸을 들여주세요. 불린쌀과 물은 1:1 비율로 넣으시면 됩니다.
21,7,고추장아찌를 잘게 썰어주시고 작은돌솥이나 냄비에 고추장아찌양념재료를 모두 넣어 섞어주세요.
21,8,고추장아찌양념의 반이 될때까지 끓여주세요.
21,9,밥이 뜸들일때 굴을 넣어 5~10분 더 뜸을 들여주세요.
22,1,말린 시래기는 찬물에 충분히 잠길 정도로 담가 약 반나절 정도 두었습니다. 압력밥솥에 시래기가 충분히 잠길 정도로 물을 붓고 약 20분 정도 푹 삶아 주세요. 삶은 시래기는 찬물에서 3-4차례 깨끗이 씻어 주세요.삶은 시래기는 수분이 30% 정도 남을 정도로 물기를 짠 다음 1cm 길이로 썰어 주세요. 볼에 시래기와 양념을 넣고 조물조물 무쳐 주세요.
22,2,소고기 불고기감은 2cm 길이로 자른 후 분량의 양념 재료를 넣고 조물조물 무쳐 주세요.
22,3,잘 익은 김치는 속을 털어 내고 1cm 길이로 썰어 물기를 꼭 짜주세요. 김치에 들기름을 넣고 조물조물 무쳐 주세요. 은행은 살살 비벼가면서 껍질을 벗겨 주세요.
22,4,씻은 현미쌀을 전기 압력밥솥에 넣어 주세요. 전 불릴 필요가 없는 현미를 사용하였기 때문에 그냥 사용하였지만 일반 현미를 사용하시는 분들은 2-3시간 충분히 불려 주셔야 합니다.
22,5,"전기밥솥 내솥에 현미, 삶은 시래기, 소고기, 김치, 은행과 분량의 물을 넣고 잡곡 코스에서 밥을 해 주세요. 현미라서 잡곡코스에서 밥을 해 주었습니다."
22,6,밥이 다 된 모습입니다. 주걱으로 살살 섞어서 그릇에 담으면 끝입니다.
23,1,현미를 준비합니다.
23,2,쌀함지박에 현미 5컵을 붓고 물을 부어 일반 쌀 씻듯이 손으로 바락바락 씻어줍니다. 맑은 물이 나올 때까지 서너번 세척해줍니다.
23,3,물을 부어 이대로 10시간 정도 불려줍니다.
23,4,더운 여름철에는 밀폐용기에 물과 함께 넣고 뚜껑을 닫아서 냉장고에서 불리는 것이 안전하답니다.
23,5,압력 밭솥에 불린 현미를 넣어주고 물을 5컵반을 부어줍니다. 여기에 소금 1작은술을 넣어줍니다. 소금을 넣어주면 감칠맛이 나서 맛이 좋아진답니다. 압력밥솥인 경우는 물을 적게 넣지만 일반 전기밥솥이나 냄비에 밥을 지을 때는 물을 더 넣어주어야 하고요. 그리고 현미밥을 잘 짓는 포인트는 충분히 불리는 것이랍니다.
23,6,잡곡에 넣고 현미밥을 하였습니다.
23,7,100% 현미밥이 완성되었는데요. 처음 먹는 분들은 일반 쌀이나 찹쌀을 섞어서 만들다가 점점 현미를 많이 넣는 것도 적응하기 좋답니다.
24,1,현미와 검정콩은 같이 씻어서 준비해두고
24,2,불린 시래기를 넣고 압력솥에서 칙칙하고 끓으면 중간불로 해서 2분 끓이다 다시 약한 불로 줄여 주세요. 약한 불에서 10분 정도 있다가 불을 꺼주세요.
24,3,김이 다 빠진 7분 정도면 밥을 드셔도 됩니다.
24,4,그릇에 담으면 완성입니다
25,1,현미를 준비합니다.
25,2,쌀함지박에 현미 5컵을 붓고 물을 부어 일반 쌀 씻듯이 손으로 바락바락 씻어줍니다. 맑은 물이 나올 때까지 서너번 세척해줍니다.
25,3,물을 부어 이대로 10시간 정도 불려줍니다. 더운 여름철에는 밀폐용기에 물과 함께 넣고 뚜껑을 닫아서 냉장고에서 불리는 것이 안전하답니다.
25,4,"압력 밭솥에 불린 현미를 넣어주고 물을 5컵반을 부어줍니다. 여기에 소금 1작은술을 넣어줍니다. 소금을 넣어주면 감칠맛이 나서 맛이 좋아진답니다. 압력밥솥인 경우는 물을 적게 넣지만, 일반 전기밥솥이나 냄비에 밥을 지을 때는 물을 더 넣어주어야 하고요. 그리고 현미밥을 잘 짓는 포인트는 충분히 불리는 것이랍니다."
25,5,100% 현미밥이 완성되었는데요. 처음 먹는 분들은 일반 쌀이나 찹쌀을 섞어서 만들다가 점점 현미를 많이 넣는 것도 적응하기 좋답니다.
26,1,현미쌀 150g과 백미 150g을 준비해주세요.
26,2,미처 준비를 하지 못 했을 때는 두세 시간 정도 물에 담가두었다가 밥을 지어야 돼요. 백미 밥처럼 20~30분 불리면 잘 퍼지지 않더라고요.
26,3,2시간 정도 불렸다가 밥을 지어보았어요.
26,4,밤을 같이 넣어주세요.
26,5,손을 넣어보았을 때 손등이 살짝 잠기는 정도를 물을 넣어주었어요.
26,6,전기압렵밥솥에 잡곡 취사를 누르고 밥을 지었어요.
26,7,고소한 현미밥 짓기가 완성되었습니다^^
27,1,"쌀, 흑미를 준비해주세요  쌀3:흑미1 이렇게 하니까 딱이더라구요!"
27,2,쌀 3컵과 흑미1컵을 담아주세요
27,3,물로 깨끗하게 씻어줄거에요 맑은물이 나올때까지 씻어주세요
27,4,흑미 깨끗하게 씻기!
27,5,물 조절은 쉬워요 손가락 중간 마디까지만 물을 넣으면 되요.
27,6,밥솥에 안쳐줍니다.
27,7,완성!  물 조절만 잘하면 되요
27,8,그릇에 담아서 보관하기
27,9,전 1인 가구이기 때문에  통에 담아서 냉장고에 넣어뒀어요
28,1,감자는 껍질을 필러로 벗겨서 씻은 후 큼직하게 썰어주세요.
28,2,쌀씻어서 밥솥에 감자를 잘라 같이 넣고 물을 평소보다 10% 정도 덜 넣어주세요.
28,3,소금을 약간만 넣어 밥을 지어주세요.
28,4,부추양념장을 만들어줍니다.
28,5,감자밥을 그릇에 담고 부추양념장을 얹어 주세요.
29,1,냉동곤드레나물은 3~4번 씻어 물기를 꼭 짜지말고 먹기좋게 썰어 들기름과 소금을 넣어 조물조물 무쳐주세요.
29,2,곤드레나물무침을 팬에 넣어 부드러워질때까지 볶아주세요.
29,3,가마솥에 쌀을 씻어 넣고 물도 넣어주세요.
29,4,건표고버섯은 물에 불려 준비해주시고 당근은 쿠키커터로 찍고 나머지는 채썰어주시고 감자 준비해주세요.
29,5,"쌀을 넣은 가마솥에 곤드레,감자,표고버섯,당근을 넣어주세요."
29,6,가마솥밥은 센불로 끓여주시고 끓어오르면 중약불로 15~20분정도 뜸을 들여주세요.
29,7,"양념장은 간장,깨소금,다진파,마늘,참기름을 넣어 섞어주세요."
30,1,연근은 0.5cm크기로 썰어주세요.
30,2,식초물에 담근후에 끓는물에 소금을 넣고 살짝 데쳐 물기를 빼주세요.
30,3,"쇠고기표고양념장에 다진쇠고기, 다진표고 1개를 넣고 30분정도 재워주세요."
30,4,표고버섯 1개는 채썰어주시고 감자는 껍질벗겨 적당히 썰어주시고 당근은 채썰어주세요.
30,5,"쌀을 1시간이상 불려서 밥솥에 담고 물을 동량으로 넣은 후에 연근, 표고버섯, 감자, 당근을 넣고 밥을 해주세요. 전 압력밥솥에 밥을 했는데요. 센불에서 추가 돌때까지 끓인 후에 약불에서 5~10분 뜸들여주세요."
30,6,재워놓았던 쇠고기표고는 달군팬에 넣고 센불에서 재빨리 볶아주세요.
